,SMILES,True
76,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,0.023125
77,c1cc(Nc2ncnc3ccc(-c4nccc(N5CCOCC5)n4)cc23)ccn1,0.03
78,CCNC(=O)Nc1cc(-c2nc(C3CC3)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CN(C)C3)cn1,0.149
79,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1,0.05
80,O=C(O)c1ccc(Sc2ccc(CN3CCC(N4C(=O)N(C5CCOCC5)CC4c4ccccc4)CC3)cn2)cc1,0.0859999999999999
81,CC(C)c1cc(C(=O)N2Cc3ccc(CN(C)C)cc3C2)c(O)cc1O,0.36
82,CCOc1cc2[nH]cc(C(=N)O)c(=Nc3cccc(Cl)c3Cl)c2cc1N1CCN(C(C)=O)CC1,0.0959999999999999
83,OC(=NC1CCCC(O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1CNC1CC1,0.118
84,CC(C)N=C(O)C1CCC(n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,0.0529999999999999
85,COc1cc2nnc(C(=N)O)c(Nc3cccc(Cl)c3F)c2cc1OC,0.022
86,CC(F)(F)CN=C(O)N1Cc2[nH]c(=N)nc(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)c2C1,0.25
87,N#Cc1c[nH]c(=Nc2cc(CN3CCN(C(=O)CO)CC3)ccn2)s1,0.262
88,Cc1ccccc1C(O)=Nc1cccc(N=C(O)CC(C)C)c1,0.04
89,NCC1(CC(=O)O)CCCCC1,0.973807671957672
90,Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-],0.337
91,O=C(O)c1cc(CN2CCN(c3ccccc3)CC2)c2ccccn2c1=O,0.3775
92,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0.0106949999999999
93,CN(C)C1C(=O)C(=C(O)NCN2CCCC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0.5
94,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,0.01
95,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)cc(-c2c[nH]c(=O)[nH]c2=O)c1O,0.019
96,CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(O)C(O)C3O)c2n1,0.01
97,CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1,0.12
98,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,0.47
99,N=C1CCCN1Cc1nc(O)nc(O)c1Cl,0.92
100,O=[N+]([O-])c1ccc2c(ccn2-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(Cl)c2)c1,0.01
101,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2ccc(C(=O)N3CCCCC3)cc2)s1,0.05
102,Cc1ccc(N2CCN(Cc3cc(C(=O)NC4CCCCC4O)c(=O)n4ccccc34)CC2)nc1,0.3989999999999999
103,O=S1(=O)N=C(Nc2ccccc2)c2ccccc21,0.16
104,CS(=O)(=O)NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,0.0037
105,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,0.96
106,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O,0.007
107,O=C(NN1C(=O)C2C3C=CC(C4CC34)C2C1=O)c1ccc(C(F)(F)F)cc1,0.2049999999999999
108,O=[N+]([O-])c1ccc(O)cc1,0.1822499999999999
109,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)S(=O)(=O)c1ccc(Cl)cc1)O2,0.055
110,CCCCC(CC)COC(=O)c1ccccc1C(=O)O,0.352
111,O=NN(c1ccccc1)c1ccccc1,0.04369
112,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,0.1235386904761904
113,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.02
